city,state,count
HUNTSVILLE,TEXAS,42
PHOENIX,ARIZONA,36
,,34
PHILIPSBURG,PENNSYLVANIA,22
LOS ANGELES,CALIFORNIA,21
SAN DIEGO,CALIFORNIA,19
CRANSTON,RHODE ISLAND,19
WHITE DEER,PENNSYLVANIA,19
ATLANTA,GEORGIA,13
FRENCH CAMP,CALIFORNIA,13
FRESNO,CALIFORNIA,10
SAN ANTONIO,TEXAS,9
MODESTO,CALIFORNIA,8
EDINBURG,TEXAS,8
CALIPATRIA,CALIFORNIA,7
TALLAHASSEE,FLORIDA,7
ORLANDO,FLORIDA,7
TRACY,CALIFORNIA,7
ROCKVILLE,MARYLAND,6
CHOWCHILLA,CALIFORNIA,5
DALLAS,TEXAS,5
NATCHEZ,MISSISSIPPI,5
ELMHURST,NEW YORK,5
RALEIGH,NORTH CAROLINA,5
TAMPA,FLORIDA,5
PECOS,TEXAS,5
RIVERSIDE,CALIFORNIA,4
MIAMI,FLORIDA,4
IONE,CALIFORNIA,4
DECATUR,GEORGIA,4
VISTA,CALIFORNIA,4
BEEVILLE,TEXAS,4
WASCO,CALIFORNIA,4
LEWISBURG,PENNSYLVANIA,4
HOUSTON,TEXAS,4
BRADFORD,PENNSYLVANIA,4
PORTLAND,OREGON,4
DUBLIN,CALIFORNIA,4
FAIRFAX,VIRGINIA,3
BEAUMONT,TEXAS,3
POST,TEXAS,3
HUMBLE,TEXAS,3
MCRAE,GEORGIA,3
SAN FRANCISCO,CALIFORNIA,3
JAMESTOWN,CALIFORNIA,3
LAWRENCEVILLE,GEORGIA,3
ALBUQUERQUE,NEW MEXICO,3
DELANO,CALIFORNIA,3
SANTA ANA,CALIFORNIA,3
BRUNSWICK,GEORGIA,3
MORGANTOWN,WEST VIRGINIA,3
REPRESA,CALIFORNIA,3
WINSTON-SALEM,NORTH CAROLINA,3
FLORENCE,ARIZONA,3
COLORADO SPRINGS,COLORADO,3
GRANTS,NEW MEXICO,3
